Species,Geolocation,2010 Quarter 1,2010 Quarter 2,2010 Quarter 3,2010 Quarter 4,2010 Annual,2011 Quarter 1,2011 Quarter 2,2011 Quarter 3,2011 Quarter 4,2011 Annual,2012 Quarter 1,2012 Quarter 2,2012 Quarter 3,2012 Quarter 4,2012 Annual,2013 Quarter 1,2013 Quarter 2,2013 Quarter 3,2013 Quarter 4,2013 Annual,2014 Quarter 1,2014 Quarter 2,2014 Quarter 3,2014 Quarter 4,2014 Annual,2015 Quarter 1,2015 Quarter 2,2015 Quarter 3,2015 Quarter 4,2015 Annual,2016 Quarter 1,2016 Quarter 2,2016 Quarter 3,2016 Quarter 4,2016 Annual,2017 Quarter 1,2017 Quarter 2,2017 Quarter 3,2017 Quarter 4,2017 Annual,2018 Quarter 1,2018 Quarter 2,2018 Quarter 3,2018 Quarter 4,2018 Annual,2019 Quarter 1,2019 Quarter 2,2019 Quarter 3,2019 Quarter 4,2019 Annual,2020 Quarter 1,2020 Quarter 2,2020 Quarter 3,2020 Quarter 4,2020 Annual,2021 Quarter 1,2021 Quarter 2,2021 Quarter 3,2021 Quarter 4,2021 Annual,2022 Quarter 1,2022 Quarter 2,2022 Quarter 3,2022 Quarter 4,2022 Annual,2023 Quarter 1,2023 Quarter 2,2023 Quarter 3,2023 Quarter 4,2023 Annual,2024 Quarter 1,2024 Quarter 2,2024 Quarter 3,2024 Quarter 4,2024 Annual
..Milkfish,PHILIPPINES,66510.34,91177.08,97043.59,94701.01,349432.01,69072.24,93419.09,99198.71,110890.75,372580.8,69433.99,98633.01,103017.1,115644.81,386728.92,76079.64,103907.36,106055.28,115024.16,401066.43,74564.18,101508.7,96326.92,117832.73,390232.54,73990.85,98418.45,101630.05,110386.1,384425.44,72401.26,99637.99,107218.06,118830.86,398088.17,70009.2,108598.83,106465.06,126030.37,411103.47,64874.29,104840.51,97803.53,127611.99,395130.31,61890.12,103184.62,110881.56,133950.25,409906.56,65084.92,105690.3,104005.64,139708.07,414488.93,65438.88,119488.09,115040.39,142300.39,442267.75,58409.75,100764.84,99915.06,128874.52,387964.17,62180.74,81320.13,87721.66,121801.52,353024.05,57128.01,77760.52,88856.27,134134.11,357878.9
..Milkfish,..National Capital Region (NCR),7.8,316.34,568.01,626.07,1518.22,82.87,434.65,583.32,563.39,1664.22,84.51,523.6,499.2,547.96,1655.26,83.79,306.23,526.66,583.21,1499.9,86.34,279.04,503.49,581.83,1450.7,80.85,79.94,522.16,489.1,1172.05,175.33,0.75,665.72,1166.17,2007.97,26.6,2.87,780.56,10249.69,11059.72,49.12,1.42,280.92,17501.45,17832.91,70.78,5.76,368.07,9416.12,9860.73,36.37,44.23,595.86,4.49,680.95,38.1,122.52,42.33,14.57,217.53,44.93,24.86,103.33,32.15,205.28,238.19,320.3,50.57,76.17,685.23,66.66,444.06,119.35,54.5,684.57
..Milkfish,..Cordillera Administrative Region (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
..Milkfish,..Region I (Ilocos Region),15096.7,17316.92,11985.38,27755.1,72154.09,16482.03,16740.52,12422.91,44800.09,90445.55,14260.58,20005.17,13045.92,46549.06,93860.74,17440.91,23219.49,15218.97,48428.5,104307.87,19223.66,25347.55,16517.06,56720.91,117809.17,19023.48,23834.64,17383.61,47939.38,108181.11,19535.91,24726.6,17592.38,50171.29,112026.18,18473.14,26062.13,17744.16,50198.62,112478.05,20665.55,17226.29,17121.43,50854.33,105867.6,24004.23,17510.16,18605.69,56676.71,116796.79,24495.36,14920.16,19653.91,66843.64,125913.08,24982.86,22569.68,24319.48,66008.67,137880.69,21985.5,23704.03,30187.26,67354.42,143231.2,23772.68,25798.69,27489.49,66373.42,143434.27,21797.78,26789.42,27685.16,65171.54,141443.9
..Milkfish,..Region II (Cagayan Valley),63.11,355.86,38.62,52.87,510.46,43.32,408.94,38.41,47.94,538.61,39.8,412.39,27.07,46.75,526.02,40.37,424.86,27.14,43.72,536.09,39.86,433.25,24.69,41.9,539.7,38.4,455.94,23.26,28.37,545.98,25.14,411.69,29.18,9.42,475.43,14.77,467.08,18.49,16.81,517.15,16.37,483.77,21.16,6.53,527.82,14.22,504.72,19.83,4.95,543.73,12.95,515.68,20.88,5.56,555.07,12.83,594.99,21.49,5.52,634.82,13.61,555.35,106.28,5.24,680.49,27.15,575.2,119.73,5.03,727.11,39.29,352.35,157.51,5.2,554.35
..Milkfish,..Region III (Central Luzon),13781.15,15690.98,13202.84,16558.54,59233.52,12993.79,15785.43,12306.34,14043.05,55128.61,13651.6,16747.99,11716.13,15929.58,58045.29,16802.69,18393.06,10003.31,17195.84,62394.89,16712.86,19926.74,11255.1,17552.32,65447.02,16337.23,19671.32,10950.06,17735.07,64693.68,16825.76,20367.66,10357.04,16014.57,63565.03,15850.34,23725.45,9282.32,17218.33,66076.44,15284.78,28544.7,8258.74,17218.74,69306.95,11098.8,27237.83,10028.65,18595.38,66960.66,10972.48,36557.56,9922.52,20563.06,78015.63,12350.36,43389.78,10129.97,23738.15,89608.27,15510.25,34372.74,13224.64,21689.84,84797.47,16033.79,15202.8,14146.26,23012.6,68395.45,13754.37,14143.4,10663.26,23020.45,61581.48
..Milkfish,..Region IV-A (CALABARZON),8009.95,9337.55,18067.71,10894.49,46309.7,8416.5,9356.85,17257.61,13106.6,48137.56,8672.92,10047.58,17880.22,14366.56,50967.28,9871.14,10542.55,18812.96,13360.16,52586.82,11105.01,11575.13,12385.08,9222.19,44287.4,11011.54,11423.55,13679.38,11912.16,48026.63,11831.87,12217.33,22417.28,19972.96,66439.44,11864.24,14379.64,26070.36,17647.16,69961.4,3495.77,11395.14,17251.35,11393.3,43535.57,2673.86,10960.23,25731.67,13862.21,53227.96,4033.96,10063.64,16331.69,12908.89,43338.17,2196.47,8574.38,17595.33,12707.11,41073.29,2098.2,9076.68,14128.13,10393.87,35696.88,6824.52,7221.53,10329.82,7848.85,32224.73,5113.57,3179.01,9170.15,5392.62,22855.35
..Milkfish,..MIMAROPA Region,595.04,959.94,1246.94,909.38,3711.3,573.09,1066.47,1286.71,963.21,3889.48,597.35,1193.44,1623.73,1031.1,4445.62,626.51,980.98,2049.9,1144.45,4801.83,584.71,849.42,2083.5,799.54,4317.18,459.16,626.99,2793.68,577.38,4457.21,329.05,230.5,1592.56,362.25,2514.37,189.48,258,1029.09,333.46,1810.02,150.67,135.29,855.13,299.97,1441.07,115.29,105.87,787.9,322.9,1331.95,105.8,86.88,1180.2,231.67,1604.55,71.25,149.98,1185.17,351.85,1758.24,319.71,352.47,373.49,359.07,1404.74,415.49,539.75,851.01,178.76,1985.01,69.84,252.19,1000.72,260.36,1583.12
..Milkfish,..Region V (Bicol Region),255.43,1133.58,865.75,2090.57,4345.33,268.69,1231.38,911.1,2407.32,4818.48,288.66,1262.82,987.01,2576.34,5114.83,357.32,1265.37,1033.6,2723.05,5379.34,408,1222.16,1074.99,2864.53,5569.68,379.23,791.35,966.43,2867.59,5004.6,348.64,687.38,1225.22,1932.83,4194.07,382.81,510.41,1460.22,1932.3,4285.74,419.51,489.61,1366.11,1750.72,4025.95,366.18,722.53,1066.68,2187.5,4342.89,376.02,396.23,995.15,1523.16,3290.56,337.81,271.77,1454.59,2133.86,4198.03,485.41,974.56,321.11,444.94,2226.02,291.48,308.73,259.12,178.87,1038.2,75.52,926.52,84.76,154.57,1241.37
..Milkfish,..Region VI (Western Visayas),11411.82,25984.39,28046.29,9345.35,74787.85,12937.99,28546.94,31175.12,9289.91,81949.96,12585.98,27708.68,31193.02,9402.62,80890.3,13576.47,26902.68,30675.5,8679.79,79834.44,12507.7,22925.07,28023.48,10680.06,74136.31,13847.84,23996.08,28881.62,10683.45,77409,11806.58,24249.39,29759.4,11440.49,77255.86,11853.69,25509.87,30982.81,11067.77,79414.14,14086.39,29458.18,34349.59,11398.58,89292.75,14304.25,31173.88,37247.35,14540.48,97265.96,15007.54,31101.41,35480.07,16737.83,98326.86,13238.04,31449.28,36972.66,15904.24,97564.21,7163.75,20217.83,26071.7,11181.64,64634.92,5964.84,19976.99,22004.2,11027.37,58973.4,6531.62,21062.9,28618.52,26481.08,82694.11
